home_id;mse;rmse
home106;1.1899544716177708;1.0908503433641898
home128;3.096817606910426;1.7597777151988334
home136;1.0750069180978516;1.0368254038640505
home140;2.4352361068837665;1.5605243051243278
home145;0.7996210393430242;0.8942153204586825
home162;1.3426633514547452;1.1587335118372755
home171;5.280659120411584;2.2979684768098068
home225;0.6063782400857946;0.7787029215855008
home228;0.8976768894091651;0.9474581201346923
home242;8.454562594476704;2.9076730549490435
home249;0.36917317480542144;0.6075962267866889
home255;1.9460520900011575;1.395009709644043
home266;1.6691443923414004;1.2919537113772306
home276;0.4680056307135292;0.6841093704324837
home311;0.7821788235056395;0.8844087423276861
home328;2.8578934930112627;1.6905305359594256
home61;8.71246830915943;2.9516890603787234
home62;0.2621329841060785;0.511989242178074
home63;63.31668354231092;7.957178114275872
home65;5.114876180962819;2.261609201644444
home73;1.3718052546115613;1.1712409037476283
home90;4.72563256843774;2.1738520116230866
